patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,14,1,14,44,1347,M2_Week23_Day3 (25.6.25)
1,8,6,1,6,9,367,M2_Week23_Day3 (25.6.25)
2,4,2,1,2,5,63,M2_Week23_Day3 (25.6.25)
3,4,4,1,4,6,157,M2_Week23_Day3 (25.6.25)
4,4,0,1,0,NA,0,M2_Week23_Day3 (25.6.25)
5,7,0,1,0,NA,0,M2_Week23_Day3 (25.6.25)
6,4,1,1,1,6,0,M2_Week23_Day3 (25.6.25)
7,4,3,1,3,15,157,M2_Week23_Day3 (25.6.25)
8,4,6,1,6,58,407,M2_Week23_Day3 (25.6.25)
9,8,4,1,4,46,272,M2_Week23_Day3 (25.6.25)
10,8,14,1,14,11,1455,M2_Week23_Day3 (25.6.25)
11,8,0,1,0,NA,0,M2_Week23_Day3 (25.6.25)
