patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,3,1,3,20,228,M2_Week23_Day4 (26.6.25)
1,4,8,1,8,42,625,M2_Week23_Day4 (26.6.25)
2,9,9,1,9,46,1021,M2_Week23_Day4 (26.6.25)
3,4,7,1,7,4,468,M2_Week23_Day4 (26.6.25)
4,8,6,1,6,8,525,M2_Week23_Day4 (26.6.25)
5,4,12,1,12,6,862,M2_Week23_Day4 (26.6.25)
6,8,5,1,5,9,374,M2_Week23_Day4 (26.6.25)
7,8,2,1,2,148,613,M2_Week23_Day4 (26.6.25)
8,4,7,1,7,5,687,M2_Week23_Day4 (26.6.25)
9,8,0,1,0,NA,0,M2_Week23_Day4 (26.6.25)
10,8,0,1,0,NA,0,M2_Week23_Day4 (26.6.25)
11,8,1,1,1,11,0,M2_Week23_Day4 (26.6.25)
12,8,2,1,2,43,69,M2_Week23_Day4 (26.6.25)
13,8,5,1,5,47,358,M2_Week23_Day4 (26.6.25)
