patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,6,1,6,12,228,M2_Week23_Day5 (27.6.25)
1,4,0,1,0,NA,0,M2_Week23_Day5 (27.6.25)
2,4,2,1,2,11,26,M2_Week23_Day5 (27.6.25)
3,4,3,1,3,8,60,M2_Week23_Day5 (27.6.25)
4,4,6,1,6,5,488,M2_Week23_Day5 (27.6.25)
5,8,0,1,0,NA,0,M2_Week23_Day5 (27.6.25)
6,8,1,1,1,17,0,M2_Week23_Day5 (27.6.25)
7,8,0,1,0,NA,0,M2_Week23_Day5 (27.6.25)
8,8,2,1,2,26,26,M2_Week23_Day5 (27.6.25)
9,8,0,1,0,NA,0,M2_Week23_Day5 (27.6.25)
10,8,1,1,1,23,0,M2_Week23_Day5 (27.6.25)
11,8,17,1,17,13,704,M2_Week23_Day5 (27.6.25)
12,4,20,1,20,47,1559,M2_Week23_Day5 (27.6.25)
13,4,12,1,12,6,968,M2_Week23_Day5 (27.6.25)
14,8,1,1,1,22,0,M2_Week23_Day5 (27.6.25)
15,8,10,1,10,28,426,M2_Week23_Day5 (27.6.25)
16,8,1,1,1,18,0,M2_Week23_Day5 (27.6.25)
17,8,8,1,8,87,351,M2_Week23_Day5 (27.6.25)
18,4,4,1,4,8,117,M2_Week23_Day5 (27.6.25)
19,4,11,1,11,37,555,M2_Week23_Day5 (27.6.25)
20,8,3,1,3,12,239,M2_Week23_Day5 (27.6.25)
21,8,2,1,2,9,159,M2_Week23_Day5 (27.6.25)
