patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,11,1,11,14,371,M2_Week22_Day9 (20.6.25)
1,4,1,1,1,11,0,M2_Week22_Day9 (20.6.25)
2,4,9,1,9,6,509,M2_Week22_Day9 (20.6.25)
3,8,5,1,5,16,123,M2_Week22_Day9 (20.6.25)
4,8,0,1,0,NA,0,M2_Week22_Day9 (20.6.25)
5,8,9,1,9,9,171,M2_Week22_Day9 (20.6.25)
6,7,12,1,12,9,214,M2_Week22_Day9 (20.6.25)
7,7,11,1,11,9,92,M2_Week22_Day9 (20.6.25)
8,8,8,1,8,8,1195,M2_Week22_Day9 (20.6.25)
9,7,4,1,4,9,177,M2_Week22_Day9 (20.6.25)
10,8,8,1,8,9,634,M2_Week22_Day9 (20.6.25)
11,4,3,1,3,4,29,M2_Week22_Day9 (20.6.25)
