patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,7,1,7,10,470,Week22_Day8 (19.6.25)
1,4,6,1,6,12,412,Week22_Day8 (19.6.25)
2,8,3,1,3,13,220,Week22_Day8 (19.6.25)
3,8,16,1,16,16,514,Week22_Day8 (19.6.25)
4,4,8,1,8,4,499,Week22_Day8 (19.6.25)
5,4,1,1,1,6,0,Week22_Day8 (19.6.25)
6,4,4,1,4,4,77,Week22_Day8 (19.6.25)
7,7,2,1,2,12,98,Week22_Day8 (19.6.25)
8,8,8,1,8,8,275,Week22_Day8 (19.6.25)
9,8,0,1,0,NA,0,Week22_Day8 (19.6.25)
10,8,1,1,1,13,0,Week22_Day8 (19.6.25)
11,8,11,1,11,14,556,Week22_Day8 (19.6.25)
12,4,1,1,1,4,0,Week22_Day8 (19.6.25)
13,4,0,1,0,NA,0,Week22_Day8 (19.6.25)
14,4,4,1,4,4,114,Week22_Day8 (19.6.25)
15,4,20,1,20,17,1357,Week22_Day8 (19.6.25)
16,4,6,1,6,14,465,Week22_Day8 (19.6.25)
