patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,1,1,1,9,0,M2_Week22_Day6 (17.6.25)
1,4,12,1,12,43,656,M2_Week22_Day6 (17.6.25)
2,8,1,1,1,10,0,M2_Week22_Day6 (17.6.25)
3,8,5,1,5,8,292,M2_Week22_Day6 (17.6.25)
4,8,10,1,10,105,436,M2_Week22_Day6 (17.6.25)
5,4,0,1,0,7,0,M2_Week22_Day6 (17.6.25)
6,4,9,1,9,7,770,M2_Week22_Day6 (17.6.25)
7,8,12,1,12,43,652,M2_Week22_Day6 (17.6.25)
8,4,10,1,10,8,598,M2_Week22_Day6 (17.6.25)
9,4,10,1,10,5,758,M2_Week22_Day6 (17.6.25)
10,8,0,1,0,NA,0,M2_Week22_Day6 (17.6.25)
11,8,0,1,0,NA,0,M2_Week22_Day6 (17.6.25)
12,8,0,1,0,NA,0,M2_Week22_Day6 (17.6.25)
13,8,0,1,0,NA,0,M2_Week22_Day6 (17.6.25)
14,5,0,1,0,NA,0,M2_Week22_Day6 (17.6.25)
15,8,9,1,9,63,393,M2_Week22_Day6 (17.6.25)
16,4,17,1,17,13,3348,M2_Week22_Day6 (17.6.25)
17,4,3,1,3,75,92,M2_Week22_Day6 (17.6.25)
