patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,8,1,8,11,396,M2_Week22_Day8 (19.6.25)
1,4,8,1,8,26,320,M2_Week22_Day8 (19.6.25)
2,4,1,1,1,5,0,M2_Week22_Day8 (19.6.25)
3,8,4,1,4,101,316,M2_Week22_Day8 (19.6.25)
4,8,15,1,15,28,384,M2_Week22_Day8 (19.6.25)
5,4,2,1,2,6,42,M2_Week22_Day8 (19.6.25)
6,4,1,1,1,10,0,M2_Week22_Day8 (19.6.25)
7,4,10,1,10,5,350,M2_Week22_Day8 (19.6.25)
8,4,2,1,2,5,6,M2_Week22_Day8 (19.6.25)
9,4,2,1,2,31,57,M2_Week22_Day8 (19.6.25)
10,8,11,1,11,38,348,M2_Week22_Day8 (19.6.25)
11,8,11,1,11,9,368,M2_Week22_Day8 (19.6.25)
12,8,1,1,1,34,0,M2_Week22_Day8 (19.6.25)
13,4,2,1,2,4,11,M2_Week22_Day8 (19.6.25)
14,4,13,1,13,4,411,M2_Week22_Day8 (19.6.25)
15,4,3,1,3,4,136,M2_Week22_Day8 (19.6.25)
16,4,9,1,9,4,96,M2_Week22_Day8 (19.6.25)
17,4,4,1,4,5,54,M2_Week22_Day8 (19.6.25)
18,8,0,1,0,NA,0,M2_Week22_Day8 (19.6.25)
19,8,3,1,3,21,29,M2_Week22_Day8 (19.6.25)
20,8,2,1,2,8,6,M2_Week22_Day8 (19.6.25)
21,8,0,1,0,NA,0,M2_Week22_Day8 (19.6.25)
22,9,0,1,0,NA,0,M2_Week22_Day8 (19.6.25)
23,7,3,1,3,13,136,M2_Week22_Day8 (19.6.25)
24,8,19,1,19,11,1300,M2_Week22_Day8 (19.6.25)
25,4,11,1,11,81,1169,M2_Week22_Day8 (19.6.25)
26,4,0,1,0,NA,0,M2_Week22_Day8 (19.6.25)
27,4,4,1,4,84,492,M2_Week22_Day8 (19.6.25)
28,8,7,1,7,11,710,M2_Week22_Day8 (19.6.25)
29,4,2,1,2,20,15,M2_Week22_Day8 (19.6.25)
