patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,12,1,12,8,302,Day4 (12.6.25)
1,4,13,1,13,6,318,Day4 (12.6.25)
2,4,3,1,3,5,31,Day4 (12.6.25)
3,4,1,1,1,8,0,Day4 (12.6.25)
4,4,2,1,2,60,65,Day4 (12.6.25)
5,8,20,1,20,25,330,Day4 (12.6.25)
6,8,2,1,2,37,9,Day4 (12.6.25)
7,8,0,1,0,NA,0,Day4 (12.6.25)
8,8,10,1,10,8,176,Day4 (12.6.25)
9,4,12,1,12,16,389,Day4 (12.6.25)
10,4,18,1,18,7,335,Day4 (12.6.25)
11,8,20,1,20,12,585,Day4 (12.6.25)
12,8,2,1,2,38,10,Day4 (12.6.25)
13,8,20,1,20,49,452,Day4 (12.6.25)
14,4,2,1,2,12,10,Day4 (12.6.25)
15,4,20,1,20,5,605,Day4 (12.6.25)
16,8,2,1,2,19,39,Day4 (12.6.25)
17,8,20,1,20,12,646,Day4 (12.6.25)
18,3,1,1,1,13,0,Day4 (12.6.25)
19,3,11,1,11,5,337,Day4 (12.6.25)
20,8,12,1,12,9,784,Day4 (12.6.25)
21,5,13,1,13,8,514,Day4 (12.6.25)
22,4,0,1,0,NA,0,Day4 (12.6.25)
23,4,20,1,20,8,820,Day4 (12.6.25)
24,8,14,1,14,104,1301,Day4 (12.6.25)
