patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time
0,2,8,1,8,9,355
1,2,5,1,5,3,155
2,2,0,1,0,NA,0
3,2,0,1,0,NA,0
4,2,5,1,5,24,151
5,2,0,1,0,NA,0
6,10,3,1,3,17,35
7,10,7,1,7,10,257
8,10,1,1,1,25,0
9,10,0,1,0,NA,0
10,10,0,1,0,NA,0
11,2,0,1,0,NA,0
12,10,1,1,1,13,0
13,10,0,1,0,NA,0
14,10,4,1,4,29,114
15,10,9,1,9,12,221
16,2,0,1,0,NA,0
17,2,0,1,0,NA,0
18,2,1,1,1,5,0
19,2,1,1,1,35,0
20,2,0,1,0,NA,0
21,2,19,1,19,26,431
22,2,0,1,0,NA,0
23,2,0,1,0,NA,0
24,2,14,1,14,3,393
25,10,9,1,9,30,166
26,10,3,1,3,29,97
27,10,12,1,12,17,426
28,2,15,1,15,23,563
29,10,9,1,9,13,178
30,10,16,1,16,11,609
31,2,0,1,0,NA,0
32,2,0,1,0,NA,0
33,2,7,1,7,3,546
34,2,1,1,1,8,0
35,2,0,1,0,NA,0
36,2,4,1,4,39,137
37,2,0,1,0,NA,0
38,10,9,1,9,10,395
39,10,11,1,11,24,685
40,2,0,1,0,NA,0
41,2,0,1,0,NA,0
42,2,9,1,9,4,616
43,10,0,1,0,NA,0
44,10,1,1,1,172,0
45,10,0,1,0,NA,0
46,10,0,1,0,NA,0
47,10,13,1,13,13,953
48,2,0,1,0,NA,0
49,2,4,1,4,31,223
50,10,8,1,8,13,772
51,2,0,1,0,NA,0
52,2,0,1,0,NA,0
53,2,4,1,4,11,396
54,2,1,1,1,82,0
