patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time
0,2,8,1,8,7,473
1,2,8,1,8,3,498
2,10,11,1,11,22,543
3,10,13,1,13,18,471
4,2,0,1,0,NA,0
5,10,0,1,0,NA,0
6,2,1,1,1,5,0
7,2,0,1,0,NA,0
8,2,1,1,1,100,0
9,2,39,1,39,4,1823
10,2,13,1,13,4,1489
11,2,3,1,3,5,59
12,2,14,1,14,11,997
13,10,12,1,12,53,791
