patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time
0,2,5,1,5,9,200
1,2,19,1,19,3,646
2,10,15,1,15,13,528
3,10,2,1,2,12,31
4,10,9,1,9,10,489
5,2,0,1,0,NA,0
6,2,20,1,20,2,716
7,10,13,1,13,14,390
8,10,7,1,7,13,412
9,2,13,1,13,18,418
10,2,14,1,14,10,430
11,10,5,1,5,11,49
12,10,13,1,13,11,970
13,2,10,1,10,4,591
14,10,20,1,20,38,1274
15,2,0,1,0,NA,0
16,2,20,1,20,47,3014
17,2,11,1,11,10,1343
