patch_id,travel_time,RM_count,RM_per_NP,reaction_time,harvest_time
0,2,8,8,3,681
1,2,12,12,26,538
2,10,9,9,42,883
3,2,20,20,3,760
4,10,13,13,20,913
5,10,8,8,13,468
6,10,11,11,28,635
7,2,20,20,3,1709
8,2,0,0,NA,0
9,12,0,0,NA,0
10,2,0,0,NA,0
11,11,0,0,NA,0
12,2,20,20,10,1867
13,2,7,7,3,369
