patch_id,travel_time,RM_count,RM_per_NP,reaction_time,harvest_time
0,2,8,8,4,222
1,2,19,19,13,745
2,10,7,7,17,436
3,10,1,1,29,0
4,10,5,5,50,409
5,2,9,9,19,1052
6,2,0,0,NA,0
7,2,0,0,NA,0
8,2,3,3,1401,292
9,2,4,4,15,273
10,10,4,4,174,713
