patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time
0,2,4,1,4,5,31
1,2,16,1,16,18,488
2,2,15,1,15,4,404
3,10,8,1,8,11,314
4,10,11,1,11,23,320
5,10,6,1,6,16,314
6,2,4,1,4,2,229
7,2,0,1,0,NA,0
8,2,0,1,0,NA,0
9,2,0,1,0,NA,0
10,2,0,1,0,NA,0
11,2,10,1,10,13,446
12,10,14,1,14,19,538
13,10,14,1,14,30,794
14,2,3,1,3,3,54
15,10,11,1,11,18,1158
16,2,2,1,2,34,60
