patch_id,travel_time,RM_count,RM_per_NP,reaction_time,harvest_time
0,2,10,10,3,167
1,2,20,20,9,519
2,2,1,1,3,0
3,10,6,6,36,275
4,10,9,9,21,307
5,10,0,0,NA,0
6,10,1,1,13,0
7,10,13,13,71,477
8,2,2,2,18,125
9,2,20,20,66,609
10,10,2,2,11,78
11,10,6,6,11,531
12,2,20,20,82,1738
13,2,20,20,11,2686
14,2,8,8,41,470
15,2,7,7,15,586
16,10,17,17,17,1616
17,10,3,3,10,79
18,10,0,0,NA,0
19,10,6,6,61,865
20,2,0,0,NA,0
21,2,0,0,NA,0
22,7,0,0,NA,0
23,2,0,0,NA,0
