patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time
0,2,0,1,0,NA,0
1,2,3,1,3,3,22
2,2,15,1,15,39,516
3,2,8,1,8,29,625
4,10,8,1,8,16,663
5,2,0,1,0,NA,0
6,2,7,1,7,12,607
7,10,4,1,4,42,842
8,2,0,1,0,NA,0
9,2,3,1,3,199,305
10,10,0,1,0,NA,0
11,10,6,1,6,58,2220
