patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
9,8,1,1,1,12,0,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
10,8,7,1,7,16,181,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
11,8,3,1,3,16,48,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
12,8,2,1,2,12,41,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
13,4,9,1,9,20,252,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
14,4,1,1,1,27,0,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
15,4,2,1,2,95,113,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
16,4,1,1,1,15,0,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
17,4,12,1,12,6,450,Day4 (12.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
18,8,1,1,1,10,0,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
19,8,7,1,7,10,325,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
20,8,2,1,2,89,128,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
21,4,6,1,6,26,217,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
22,4,5,1,5,16,196,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
23,4,1,1,1,21,0,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
24,8,1,1,1,15,0,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
25,8,11,1,11,74,240,Day4 (12.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
26,8,9,1,9,25,326,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
27,8,4,1,4,26,97,Day4 (12.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
28,4,11,1,11,145,611,Day4 (12.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
29,8,10,1,10,534,717,Day4 (12.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day3_12.6.25.csv,2025-06-12
0,4,2,1,2,9,7,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
1,4,4,1,4,13,180,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
2,4,0,1,0,NA,0,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
3,4,10,1,10,6,414,Week22_Day6 (17.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
4,4,0,1,0,NA,0,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
5,4,0,1,0,NA,0,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
6,4,0,1,0,NA,0,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
7,4,5,1,5,4,234,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
8,8,4,1,4,13,70,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
9,8,3,1,3,9,40,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
10,8,0,1,0,NA,0,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
11,8,1,1,1,57,0,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
12,8,3,1,3,80,115,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
13,8,4,1,4,58,324,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
14,4,8,1,8,5,245,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
15,4,0,1,0,NA,0,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
16,4,0,1,0,NA,0,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
17,9,0,1,0,NA,0,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
18,4,2,1,2,7,56,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
19,4,8,1,8,11,379,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
20,8,4,1,4,8,202,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
21,8,0,1,0,NA,0,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
22,8,9,1,9,9,532,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
23,4,4,1,4,12,140,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
24,4,18,1,18,15,1652,Week22_Day6 (17.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
25,4,9,1,9,15,999,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
26,8,8,1,8,27,1711,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
27,8,9,1,9,27,2291,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
28,4,4,1,4,9,260,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
29,4,6,1,6,6,1317,Week22_Day6 (17.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day6_17.6.25.csv,2025-06-17
0,4,7,1,7,4,123,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
1,4,4,1,4,7,123,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
2,4,4,1,4,19,155,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
3,4,1,1,1,41,0,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
4,4,0,1,0,NA,0,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
5,4,3,1,3,21,139,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
6,8,9,1,9,40,392,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
7,8,6,1,6,13,196,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
