patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
19,4,2,1,2,4,6,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
20,4,2,1,2,43,4,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
21,5,3,1,3,49,35,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
22,4,2,1,2,6,7,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
23,4,5,1,5,7,123,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
24,4,10,1,10,5,444,Day5 (16.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
25,8,6,1,6,9,88,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
26,8,10,1,10,12,746,Day5 (16.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
27,4,5,1,5,6,341,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
0,4,1,1,1,9,0,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
1,4,12,1,12,43,656,M2_Week22_Day6 (17.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
2,8,1,1,1,10,0,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
3,8,5,1,5,8,292,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
4,8,10,1,10,105,436,M2_Week22_Day6 (17.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
5,4,0,1,0,7,0,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
6,4,9,1,9,7,770,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
7,8,12,1,12,43,652,M2_Week22_Day6 (17.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
8,4,10,1,10,8,598,M2_Week22_Day6 (17.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
9,4,10,1,10,5,758,M2_Week22_Day6 (17.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
10,8,0,1,0,NA,0,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
