patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,7,1,7,4,123,Week22_Day7 (18.6.25)
1,4,4,1,4,7,123,Week22_Day7 (18.6.25)
2,4,4,1,4,19,155,Week22_Day7 (18.6.25)
3,4,1,1,1,41,0,Week22_Day7 (18.6.25)
4,4,0,1,0,NA,0,Week22_Day7 (18.6.25)
5,4,3,1,3,21,139,Week22_Day7 (18.6.25)
6,8,9,1,9,40,392,Week22_Day7 (18.6.25)
7,8,6,1,6,13,196,Week22_Day7 (18.6.25)
8,8,2,1,2,34,87,Week22_Day7 (18.6.25)
9,4,1,1,1,47,0,Week22_Day7 (18.6.25)
10,4,5,1,5,21,265,Week22_Day7 (18.6.25)
11,4,5,1,5,14,274,Week22_Day7 (18.6.25)
12,4,4,1,4,48,187,Week22_Day7 (18.6.25)
13,8,9,1,9,18,482,Week22_Day7 (18.6.25)
14,8,0,1,0,NA,0,Week22_Day7 (18.6.25)
15,8,3,1,3,39,296,Week22_Day7 (18.6.25)
16,4,3,1,3,23,641,Week22_Day7 (18.6.25)
17,8,0,1,0,NA,0,Week22_Day7 (18.6.25)
18,8,4,1,4,148,1214,Week22_Day7 (18.6.25)
19,8,3,1,3,86,83,Week22_Day7 (18.6.25)
20,8,0,1,0,NA,0,Week22_Day7 (18.6.25)
21,4,0,1,0,NA,0,Week22_Day7 (18.6.25)
22,9,0,1,0,NA,0,Week22_Day7 (18.6.25)
23,4,1,1,1,5,0,Week22_Day7 (18.6.25)
24,4,0,1,0,17,0,Week22_Day7 (18.6.25)
