patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,9,1,9,11,304,Week23_Day1 (23.6.25)
1,4,15,1,15,5,467,Week23_Day1 (23.6.25)
2,4,5,1,5,4,212,Week23_Day1 (23.6.25)
3,8,5,1,5,27,226,Week23_Day1 (23.6.25)
4,8,1,1,1,19,0,Week23_Day1 (23.6.25)
5,8,12,1,12,41,416,Week23_Day1 (23.6.25)
6,4,15,1,15,5,778,Week23_Day1 (23.6.25)
7,8,4,1,4,31,363,Week23_Day1 (23.6.25)
8,8,3,1,3,29,196,Week23_Day1 (23.6.25)
9,4,8,1,8,4,229,Week23_Day1 (23.6.25)
10,4,11,1,11,5,1096,Week23_Day1 (23.6.25)
