patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,5,1,5,12,230,Week23_Day3 (25.6.25)
1,4,1,1,1,77,0,Week23_Day3 (25.6.25)
2,4,8,1,8,42,623,Week23_Day3 (25.6.25)
3,8,2,1,2,20,54,Week23_Day3 (25.6.25)
4,8,9,1,9,9,549,Week23_Day3 (25.6.25)
5,4,0,1,0,NA,0,Week23_Day3 (25.6.25)
6,3,0,1,0,NA,0,Week23_Day3 (25.6.25)
7,4,19,1,19,24,1219,Week23_Day3 (25.6.25)
8,8,0,1,0,NA,0,Week23_Day3 (25.6.25)
9,8,0,1,0,NA,0,Week23_Day3 (25.6.25)
10,8,5,1,5,9,322,Week23_Day3 (25.6.25)
