patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,3,1,3,15,109,Week23_Day5 (27.6.25)
1,4,5,1,5,20,95,Week23_Day5 (27.6.25)
2,4,7,1,7,26,364,Week23_Day5 (27.6.25)
3,4,4,1,4,172,72,Week23_Day5 (27.6.25)
4,8,1,1,1,14,0,Week23_Day5 (27.6.25)
5,8,4,1,4,48,249,Week23_Day5 (27.6.25)
6,8,2,1,2,56,6,Week23_Day5 (27.6.25)
7,8,3,1,3,129,22,Week23_Day5 (27.6.25)
8,8,2,1,2,9,41,Week23_Day5 (27.6.25)
9,4,20,1,20,21,1048,Week23_Day5 (27.6.25)
10,4,17,1,17,5,2389,Week23_Day5 (27.6.25)
11,8,2,1,2,33,308,Week23_Day5 (27.6.25)
12,8,16,1,16,434,2089,Week23_Day5 (27.6.25)
13,3,1,1,1,146,0,Week23_Day5 (27.6.25)
14,4,2,1,2,4,23,Week23_Day5 (27.6.25)
