patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,2,1,2,24,13,Week23_Day2 (24.6.25)
1,4,1,1,1,16,0,Week23_Day2 (24.6.25)
2,4,3,1,3,6,59,Week23_Day2 (24.6.25)
3,4,4,1,4,22,114,Week23_Day2 (24.6.25)
4,4,10,1,10,24,343,Week23_Day2 (24.6.25)
5,4,2,1,2,10,68,Week23_Day2 (24.6.25)
6,4,2,1,2,26,40,Week23_Day2 (24.6.25)
7,8,3,1,3,20,105,Week23_Day2 (24.6.25)
8,8,6,1,6,33,205,Week23_Day2 (24.6.25)
9,8,7,1,7,75,336,Week23_Day2 (24.6.25)
10,4,6,1,6,5,340,Week23_Day2 (24.6.25)
11,4,4,1,4,65,136,Week23_Day2 (24.6.25)
12,4,1,1,1,25,0,Week23_Day2 (24.6.25)
13,8,1,1,1,135,0,Week23_Day2 (24.6.25)
14,8,1,1,1,83,0,Week23_Day2 (24.6.25)
15,8,2,1,2,28,140,Week23_Day2 (24.6.25)
16,8,9,1,9,15,907,Week23_Day2 (24.6.25)
17,4,14,1,14,18,2051,Week23_Day2 (24.6.25)
18,8,4,1,4,8,341,Week23_Day2 (24.6.25)
