patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,13,1,13,14,230,Day4 (12.6.25)
1,4,4,1,4,7,110,Day4 (12.6.25)
2,5,3,1,3,48,155,Day4 (12.6.25)
3,4,3,1,3,21,88,Day4 (12.6.25)
4,3,4,1,4,4,128,Day4 (12.6.25)
5,8,0,1,0,NA,0,Day4 (12.6.25)
6,8,3,1,3,13,48,Day4 (12.6.25)
7,8,4,1,4,67,66,Day4 (12.6.25)
8,8,3,1,3,10,47,Day4 (12.6.25)
9,8,1,1,1,12,0,Day4 (12.6.25)
10,8,7,1,7,16,181,Day4 (12.6.25)
11,8,3,1,3,16,48,Day4 (12.6.25)
12,8,2,1,2,12,41,Day4 (12.6.25)
13,4,9,1,9,20,252,Day4 (12.6.25)
14,4,1,1,1,27,0,Day4 (12.6.25)
15,4,2,1,2,95,113,Day4 (12.6.25)
16,4,1,1,1,15,0,Day4 (12.6.25)
17,4,12,1,12,6,450,Day4 (12.6.25)
18,8,1,1,1,10,0,Day4 (12.6.25)
19,8,7,1,7,10,325,Day4 (12.6.25)
20,8,2,1,2,89,128,Day4 (12.6.25)
21,4,6,1,6,26,217,Day4 (12.6.25)
22,4,5,1,5,16,196,Day4 (12.6.25)
23,4,1,1,1,21,0,Day4 (12.6.25)
24,8,1,1,1,15,0,Day4 (12.6.25)
25,8,11,1,11,74,240,Day4 (12.6.25)
26,8,9,1,9,25,326,Day4 (12.6.25)
27,8,4,1,4,26,97,Day4 (12.6.25)
28,4,11,1,11,145,611,Day4 (12.6.25)
29,8,10,1,10,534,717,Day4 (12.6.25)
