patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,2,1,2,6,180,Day3 (11.6.25)
1,3,2,1,2,44,50,Day3 (11.6.25)
2,4,3,1,3,57,157,Day3 (11.6.25)
3,4,0,1,0,NA,0,Day3 (11.6.25)
4,8,6,1,6,8,289,Day3 (11.6.25)
5,8,1,1,1,23,0,Day3 (11.6.25)
6,8,4,1,4,24,275,Day3 (11.6.25)
7,8,1,1,1,21,0,Day3 (11.6.25)
8,4,5,1,5,43,294,Day3 (11.6.25)
9,4,3,1,3,74,146,Day3 (11.6.25)
10,4,4,1,4,5,210,Day3 (11.6.25)
11,8,4,1,4,24,219,Day3 (11.6.25)
12,8,10,1,10,15,602,Day3 (11.6.25)
13,4,9,1,9,20,530,Day3 (11.6.25)
14,5,2,1,2,163,50,Day3 (11.6.25)
15,7,14,1,14,15,1068,Day3 (11.6.25)
16,4,7,1,7,6,555,Day3 (11.6.25)
17,8,1,1,1,62,0,Day3 (11.6.25)
18,8,0,1,0,NA,0,Day3 (11.6.25)
19,8,0,1,0,NA,0,Day3 (11.6.25)
20,8,2,1,2,31,47,Day3 (11.6.25)
21,8,1,1,1,13,0,Day3 (11.6.25)
22,4,7,1,7,94,733,Day3 (11.6.25)
23,8,4,1,4,11,107,Day3 (11.6.25)
24,8,19,1,19,55,1612,Day3 (11.6.25)
25,8,11,1,11,18,863,Day3 (11.6.25)
26,4,4,1,4,24,391,Day3 (11.6.25)
